method,compute_only_ms,comm_only_ms,fused_ms,serial_ms,ideal_ms,derived_overlap_pct
B0 Original,0.2226880043745041,0.13543999940156937,0.34174399077892303,0.35812800377607346,0.2226880043745041,12.096879112183883
B4 Tile32 current,0.21401600539684296,0.13527999818325043,0.3235680013895035,0.3492960035800934,0.21401600539684296,19.01833422243156
B8 Fused-prep final,0.20600000023841858,0.13497599959373474,0.3219040036201477,0.3409759998321533,0.20600000023841858,14.129916629186342
